GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,Event_Type,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,,att,made,,,,,,
Shot Chart Detail,22100025,67,2544,LeBron James,1610612747,Los Angeles Lakers,1,6,48,Made Shot,1,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-207,157,1,1,20211022,LAL,PHX,,1,0,,,,,1,0
Shot Chart Detail,22100093,406,2544,LeBron James,1610612747,Los Angeles Lakers,3,9,27,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-207,126,1,0,20211031,LAL,HOU,,1,1,,,,,1,0
Shot Chart Detail,22100077,387,2544,LeBron James,1610612747,Los Angeles Lakers,3,7,45,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-190,167,1,0,20211029,LAL,CLE,,1,0,,,,,1,1
Shot Chart Detail,22100040,209,2544,LeBron James,1610612747,Los Angeles Lakers,2,9,35,Made Shot,1,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-189,194,1,1,20211024,LAL,MEM,,1,0,,left far,0.421052632,,1,0
Shot Chart Detail,22100025,623,2544,LeBron James,1610612747,Los Angeles Lakers,4,4,48,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-188,180,1,1,20211022,LAL,PHX,,1,1,,center far,0.153846154,,1,0
Shot Chart Detail,22100002,654,2544,LeBron James,1610612747,Los Angeles Lakers,4,4,38,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-164,225,1,0,20211019,LAL,GSW,,1,1,,right far,0.46,,1,0
Shot Chart Detail,22100002,590,2544,LeBron James,1610612747,Los Angeles Lakers,4,9,37,Made Shot,1,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-163,204,1,1,20211019,LAL,GSW,,1,0,,in the paint,0.2,,1,1
Shot Chart Detail,22100025,681,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,38,Missed Shot,0,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-162,208,1,0,20211022,LAL,PHX,,1,1,,left corner 3,0.25,,1,1
Shot Chart Detail,22100093,401,2544,LeBron James,1610612747,Los Angeles Lakers,3,10,8,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-157,202,1,0,20211031,LAL,HOU,,1,0,,midrange,0.526315789,,1,1
Shot Chart Detail,22100025,366,2544,LeBron James,1610612747,Los Angeles Lakers,3,10,7,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-147,230,1,1,20211022,LAL,PHX,,1,1,,near basket,0.636,,1,1
Shot Chart Detail,22100002,60,2544,LeBron James,1610612747,Los Angeles Lakers,1,7,32,Made Shot,1,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-146,204,1,1,20211019,LAL,GSW,,1,1,,,,,1,1
Shot Chart Detail,22100002,600,2544,LeBron James,1610612747,Los Angeles Lakers,4,8,46,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-145,217,1,0,20211019,LAL,GSW,,1,1,,,,,1,0
Shot Chart Detail,22100040,446,2544,LeBron James,1610612747,Los Angeles Lakers,3,4,53,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-142,208,1,1,20211024,LAL,MEM,,1,1,,,,,1,1
Shot Chart Detail,22100077,396,2544,LeBron James,1610612747,Los Angeles Lakers,3,7,8,Missed Shot,0,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-140,226,1,0,20211029,LAL,CLE,,1,0,,,,,1,1
Shot Chart Detail,22100077,309,2544,LeBron James,1610612747,Los Angeles Lakers,2,2,17,Missed Shot,0,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-137,211,1,0,20211029,LAL,CLE,,1,0,,,,,1,0
Shot Chart Detail,22100002,475,2544,LeBron James,1610612747,Los Angeles Lakers,3,5,14,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-136,238,1,1,20211019,LAL,GSW,,1,0,,,,,1,1
